recv_rate,max_rate,rate_limit,time_s
335434628.0,351669404.0,1950964.0,1180
336966102.0,351669404.0,1794887.0,1185
341785917.0,351669404.0,1882804.0,1190
344522046.0,351669404.0,1970721.0,1195
342099498.0,351669404.0,2058638.0,1200
342026947.0,351669404.0,2146555.0,1205
342438050.0,351669404.0,2234472.0,1210
340177530.0,351669404.0,2055715.0,1215
341686601.0,351669404.0,2143632.0,1220
336184855.0,351669404.0,1972142.0,1225
339882990.0,351669404.0,1814371.0,1230
326053585.0,351669404.0,1669222.0,1235
344380984.0,351669404.0,1757139.0,1240
344786226.0,351669404.0,1845056.0,1245
340693567.0,351669404.0,1697452.0,1250
341793494.0,351669404.0,1785369.0,1255
342969864.0,351669404.0,1873286.0,1260
341081489.0,351669404.0,1723424.0,1265
344757811.0,351669404.0,1811341.0,1270
342656978.0,351669404.0,1899258.0,1275
341235083.0,351669404.0,1987175.0,1280
342326537.0,351669404.0,2075092.0,1285
340775275.0,351669404.0,1909085.0,1290
343175690.0,351669404.0,1997002.0,1295
336786594.0,351669404.0,1837242.0,1300
340026037.0,351669404.0,1690263.0,1305
340369404.0,351669404.0,1555042.0,1310
342053512.0,351669404.0,1642959.0,1315
346716618.0,351669404.0,1730876.0,1320
345202788.0,351669404.0,1818793.0,1325
344752287.0,351669404.0,1906710.0,1330
341337039.0,351669404.0,1994627.0,1335
342576798.0,351669404.0,2082544.0,1340
342406994.0,351669404.0,2170461.0,1345
338287222.0,351669404.0,1996825.0,1350
339897802.0,351669404.0,1837079.0,1355
345840098.0,351669404.0,1924996.0,1360
342764381.0,351669404.0,2012913.0,1365
340091663.0,351669404.0,1851880.0,1370
345626765.0,351669404.0,1939797.0,1375
342403090.0,351669404.0,2027714.0,1380
342274828.0,351669404.0,2115631.0,1385
339915221.0,351669404.0,1946381.0,1390
344302464.0,351669404.0,2034298.0,1395
343324224.0,351669404.0,2122215.0,1400
340413449.0,351669404.0,1952438.0,1405
344169768.0,351669404.0,2040355.0,1410
340720607.0,351669404.0,1877127.0,1415
343813682.0,351669404.0,1965044.0,1420
341185874.0,351669404.0,2052961.0,1425
340709510.0,351669404.0,1888725.0,1430
339726603.0,351669404.0,1737627.0,1435
344244593.0,351669404.0,1825544.0,1440
340357400.0,351669404.0,1679501.0,1445
342508333.0,351669404.0,1767418.0,1450
342633007.0,351669404.0,1855335.0,1455
341605990.0,351669404.0,1943252.0,1460
344156878.0,351669404.0,2031169.0,1465
343014632.0,351669404.0,2119086.0,1470
343170515.0,351669404.0,2207003.0,1475
341851228.0,351669404.0,2294920.0,1480
335424216.0,351669404.0,2111327.0,1485
336403181.0,351669404.0,1942421.0,1490
343146089.0,351669404.0,2030338.0,1495
340470575.0,351669404.0,1867911.0,1500
342724867.0,351669404.0,1955828.0,1505
344337716.0,351669404.0,2043745.0,1510
342214357.0,351669404.0,2131662.0,1515
339562651.0,351669404.0,1961130.0,1520
343792441.0,351669404.0,2049047.0,1525
342673337.0,351669404.0,2136964.0,1530
338422287.0,351669404.0,1966007.0,1535
340870214.0,351669404.0,1808727.0,1540
340991485.0,351669404.0,1664029.0,1545
344690608.0,351669404.0,1751946.0,1550
342106041.0,351669404.0,1839863.0,1555
339603572.0,351669404.0,1692674.0,1560
343144548.0,351669404.0,1780591.0,1565
341883010.0,351669404.0,1868508.0,1570
338114414.0,351669404.0,1719028.0,1575
344119510.0,351669404.0,1806945.0,1580
342782313.0,351669404.0,1894862.0,1585
343491605.0,351669404.0,1982779.0,1590
340246574.0,351669404.0,1824157.0,1595
343020872.0,351669404.0,1912074.0,1600
342152460.0,351669404.0,1999991.0,1605
343611906.0,351669404.0,2087908.0,1610
339944994.0,351669404.0,1920876.0,1615
342184785.0,351669404.0,2008793.0,1620
341045653.0,351669404.0,1848090.0,1625
